2025-08-11 05:23:01 logger.py[line:302] INFO Logger setup done. 
2025-08-11 05:23:01 train.py[line:37] INFO Creating training data loader...
2025-08-11 05:23:01 train.py[line:46] INFO Exclude class: Midjourney
2025-08-11 05:23:33 train.py[line:69] INFO Creating model 'resnet50'... 
2025-08-11 05:23:33 train.py[line:77] INFO Creating model 'clip'... 
2025-08-11 05:23:35 train.py[line:85] INFO Creating optimizer and scheduler... 
2025-08-11 05:23:35 train.py[line:101] INFO Start training for 200000 steps. 
2025-08-11 05:33:50 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 1
2025-08-11 05:36:10 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 2
2025-08-11 05:36:11 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 3
2025-08-11 05:36:12 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 4
2025-08-11 05:37:11 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 5
2025-08-11 05:37:12 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 6
2025-08-11 05:37:13 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 7
2025-08-11 05:37:14 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 8
2025-08-11 05:37:15 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 9
2025-08-11 05:37:16 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 10
2025-08-11 05:37:17 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 11
2025-08-11 05:37:18 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 12
2025-08-11 05:37:19 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 13
2025-08-11 05:37:20 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 14
2025-08-11 05:37:21 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 15
2025-08-11 05:37:22 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 16
2025-08-11 05:37:23 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 17
2025-08-11 05:37:24 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 18
2025-08-11 05:37:25 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 19
2025-08-11 05:37:26 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 20
2025-08-11 05:37:27 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 21
2025-08-11 05:37:28 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 22
2025-08-11 05:37:29 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 23
2025-08-11 05:37:30 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 24
2025-08-11 05:37:31 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 25
2025-08-11 05:37:32 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 26
2025-08-11 05:37:33 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 27
2025-08-11 05:37:34 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 28
2025-08-11 05:37:35 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 29
2025-08-11 05:37:36 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 30
2025-08-11 05:37:37 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 31
2025-08-11 05:37:38 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 32
2025-08-11 05:37:39 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 33
2025-08-11 05:37:40 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 34
2025-08-11 05:37:41 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 35
2025-08-11 05:37:42 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 36
2025-08-11 05:37:43 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 37
2025-08-11 05:37:44 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 38
2025-08-11 05:37:45 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 39
2025-08-11 05:37:46 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 40
2025-08-11 05:37:47 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 41
2025-08-11 05:37:48 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 42
2025-08-11 05:37:49 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 43
2025-08-11 05:37:50 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 44
2025-08-11 05:37:51 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 45
2025-08-11 05:37:52 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 46
2025-08-11 05:37:53 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 47
2025-08-11 05:37:54 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 48
2025-08-11 05:37:55 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 49
2025-08-11 05:37:56 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 50
2025-08-11 05:37:57 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 51
2025-08-11 05:37:58 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 52
2025-08-11 05:37:59 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 53
2025-08-11 05:38:00 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 54
2025-08-11 05:38:01 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 55
2025-08-11 05:38:02 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 56
2025-08-11 05:38:03 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 57
2025-08-11 05:38:04 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 58
2025-08-11 05:38:05 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 59
2025-08-11 05:38:06 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 60
2025-08-11 05:38:07 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 61
2025-08-11 05:38:08 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 62
2025-08-11 05:38:09 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 63
2025-08-11 05:38:10 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 64
2025-08-11 05:38:11 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 65
2025-08-11 05:38:12 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 66
2025-08-11 05:38:13 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 67
2025-08-11 05:38:14 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 68
2025-08-11 05:38:15 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 69
2025-08-11 05:38:16 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 70
2025-08-11 05:38:17 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 71
2025-08-11 05:38:18 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 72
2025-08-11 05:38:19 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 73
2025-08-11 05:38:20 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 74
2025-08-11 05:38:21 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 75
2025-08-11 05:38:22 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 76
2025-08-11 05:38:23 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 77
2025-08-11 05:38:24 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 78
2025-08-11 05:38:25 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 79
2025-08-11 05:38:26 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 80
2025-08-11 05:38:27 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 81
2025-08-11 05:38:28 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 82
2025-08-11 05:38:29 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 83
2025-08-11 05:38:30 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 84
2025-08-11 05:38:31 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 85
2025-08-11 05:38:31 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 86
2025-08-11 05:38:32 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 87
2025-08-11 05:38:33 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 88
2025-08-11 05:38:34 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 89
2025-08-11 05:38:35 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 90
2025-08-11 05:38:36 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 91
2025-08-11 05:38:37 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 92
2025-08-11 05:38:38 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 93
2025-08-11 05:38:39 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 94
2025-08-11 05:38:40 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 95
2025-08-11 05:38:41 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 96
2025-08-11 05:38:42 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 97
2025-08-11 05:38:43 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 98
2025-08-11 05:38:44 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 99
2025-08-11 05:38:45 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 100
2025-08-11 05:38:46 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 101
2025-08-11 05:38:47 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 102
2025-08-11 05:38:48 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 103
2025-08-11 05:38:49 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 104
2025-08-11 05:38:50 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 105
2025-08-11 05:38:51 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 106
2025-08-11 05:38:52 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 107
2025-08-11 05:38:53 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 108
2025-08-11 05:38:54 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 109
2025-08-11 05:38:55 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 110
2025-08-11 05:38:56 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 111
2025-08-11 05:38:57 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 112
2025-08-11 05:38:58 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 113
2025-08-11 05:38:59 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 114
2025-08-11 05:39:00 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 115
2025-08-11 05:39:01 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 116
2025-08-11 05:39:02 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 117
2025-08-11 05:39:03 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 118
2025-08-11 05:39:04 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 119
2025-08-11 05:39:05 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 120
2025-08-11 05:39:06 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 121
2025-08-11 05:39:07 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 122
2025-08-11 05:39:08 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 123
2025-08-11 05:39:09 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 124
2025-08-11 05:39:10 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 125
2025-08-11 05:39:11 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 126
2025-08-11 05:39:12 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 127
2025-08-11 05:39:13 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 128
2025-08-11 05:39:14 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 129
2025-08-11 05:39:15 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 130
2025-08-11 05:39:16 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 131
2025-08-11 05:39:17 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 132
2025-08-11 05:39:18 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 133
2025-08-11 05:39:19 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 134
2025-08-11 05:39:20 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 135
2025-08-11 05:39:21 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 136
2025-08-11 05:39:22 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 137
2025-08-11 05:39:23 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 138
2025-08-11 05:39:24 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 139
2025-08-11 05:39:25 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 140
2025-08-11 05:39:26 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 141
2025-08-11 05:39:27 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 142
2025-08-11 05:39:28 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 143
2025-08-11 05:39:29 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 144
2025-08-11 05:39:30 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 145
2025-08-11 05:39:31 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 146
2025-08-11 05:39:32 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 147
2025-08-11 05:39:33 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 148
2025-08-11 05:39:34 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 149
2025-08-11 05:39:35 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 150
2025-08-11 05:39:36 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 151
2025-08-11 05:39:37 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 152
2025-08-11 05:39:38 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 153
2025-08-11 05:39:39 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 154
2025-08-11 05:39:40 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 155
