2025-08-14 07:08:22 logger.py[line:302] INFO Logger setup done. 
2025-08-14 07:08:22 train.py[line:38] INFO Creating training data loader...
2025-08-14 07:08:22 train.py[line:47] INFO Exclude class: ADM
2025-08-14 07:08:47 train.py[line:70] INFO Creating model 'resnet50'... 
2025-08-14 07:08:48 train.py[line:78] INFO Creating model 'clip'... 
2025-08-14 07:08:59 train.py[line:116] INFO Creating optimizer and scheduler... 
2025-08-14 07:08:59 train.py[line:141] INFO Start training for 200000 steps. 
2025-08-14 07:16:12 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 1
2025-08-14 07:18:06 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 2
2025-08-14 07:18:07 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 3
2025-08-14 07:18:08 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 4
2025-08-14 07:27:34 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 5
2025-08-14 07:27:35 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 6
2025-08-14 07:27:36 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 7
2025-08-14 07:27:37 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 8
2025-08-14 07:27:38 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 9
2025-08-14 07:27:39 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 10
2025-08-14 07:27:40 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 11
2025-08-14 07:27:41 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 12
2025-08-14 07:27:42 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 13
2025-08-14 07:27:43 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 14
2025-08-14 07:27:45 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 15
2025-08-14 07:27:46 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 16
2025-08-14 07:27:47 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 17
2025-08-14 07:27:48 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 18
2025-08-14 07:27:49 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 19
2025-08-14 07:27:50 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 20
2025-08-14 07:27:51 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 21
2025-08-14 07:27:52 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 22
2025-08-14 07:27:53 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 23
2025-08-14 07:27:54 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 24
2025-08-14 07:27:55 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 25
